"Code","Week","AvgNCases","AvgNDeaths","State"
"FL","41",2543.57142857143,54.8571428571429,"Florida"
"FL","08",0,0,"Florida"
"FL","09",0,0,"Florida"
"FL","44",4206.28571428571,46.5714285714286,"Florida"
"FL","45",4987.71428571429,49.4285714285714,"Florida"
"FL","46",5846,63.7142857142857,"Florida"
"FL","47",7648.71428571429,65.4285714285714,"Florida"
"FL","34",3772.14285714286,155.142857142857,"Florida"
"FL","35",2873.57142857143,124,"Florida"
"FL","36",3515.85714285714,104.285714285714,"Florida"
"FL","37",2510.42857142857,80.2857142857143,"Florida"
"FL","38",2722.85714285714,68.7142857142857,"Florida"
"FL","18",668.571428571429,45.1428571428571,"Florida"
"FL","19",566.142857142857,42.5714285714286,"Florida"
"FL","42",2903.85714285714,52.4285714285714,"Florida"
"FL","43",3549.85714285714,46.1428571428571,"Florida"
"FL","20",749.571428571429,40.7142857142857,"Florida"
"FL","39",2250.42857142857,66.8571428571429,"Florida"
"GA","06",0,0,"Georgia"
"GA","08",0,0,"Georgia"
"GA","09",0.285714285714286,0,"Georgia"
"GA","10",2.14285714285714,0,"Georgia"
"GA","12",95,3.42857142857143,"Georgia"
"GA","13",282.714285714286,8.42857142857143,"Georgia"
"GA","14",544.857142857143,19.2857142857143,"Georgia"
"GA","11",24.8571428571429,0.142857142857143,"Georgia"
"GA","16",767.142857142857,34.8571428571429,"Georgia"
"GA","17",703,31.5714285714286,"Georgia"
"GA","18",621,38,"Georgia"
"GA","19",672.142857142857,32.2857142857143,"Georgia"
"GA","07",0,0,"Georgia"
"GA","44",2031.57142857143,24.5714285714286,"Georgia"
"GA","45",2118.28571428571,30.4285714285714,"Georgia"
"GA","34",2652.85714285714,61.4285714285714,"Georgia"
"GA","35",2421.42857142857,67.4285714285714,"Georgia"
"GA","36",2262.57142857143,61.8571428571429,"Georgia"
"GA","37",1821,58.1428571428571,"Georgia"
"GA","38",1947.28571428571,22.5714285714286,"Georgia"
"GA","15",793.428571428571,32.5714285714286,"Georgia"
"GA","52",6340.14285714286,43.7142857142857,"Georgia"
"GA","53",8538.25,61.25,"Georgia"
"GA","28",3119.42857142857,20.1428571428571,"Georgia"
"GA","29",3901.42857142857,24.5714285714286,"Georgia"
"GA","05",0,0,"Georgia"
"GA","31",3775.42857142857,48.8571428571429,"Georgia"
"GA","20",558.428571428571,28.8571428571429,"Georgia"
"GA","46",2819,42.4285714285714,"Georgia"
"GA","47",3449,34.4285714285714,"Georgia"
"GA","48",2912,34.8571428571429,"Georgia"
"GA","49",4555.57142857143,52,"Georgia"
"GA","50",5919,38.5714285714286,"Georgia"
"GA","51",6440,43.8571428571429,"Georgia"
"GA","39",1460.28571428571,49.1428571428571,"Georgia"
"GA","27",2613.71428571429,11.7142857142857,"Georgia"
"GA","41",1612.14285714286,36.2857142857143,"Georgia"
"GA","42",1598.28571428571,31.7142857142857,"Georgia"
"GA","30",3737.42857142857,46.4285714285714,"Georgia"
"GA","04",0,0,"Georgia"
"GA","32",3474.71428571429,51.2857142857143,"Georgia"
"GA","33",3082.57142857143,71.8571428571429,"Georgia"
"GA","21",805,31.5714285714286,"Georgia"
"GA","22",646,32.1428571428571,"Georgia"
"GA","23",719.714285714286,18.2857142857143,"Georgia"
"GA","24",888.428571428571,38.7142857142857,"Georgia"
"GA","25",1114.85714285714,27.4285714285714,"Georgia"
"GA","26",1846.14285714286,19.2857142857143,"Georgia"
"GA","40",1402.14285714286,30.8571428571429,"Georgia"
"GA","43",1776,24.4285714285714,"Georgia"
"HI","38",97.4285714285714,3,"Hawaii"
"HI","39",106.285714285714,1.57142857142857,"Hawaii"
"HI","40",93.1428571428571,3.57142857142857,"Hawaii"
"HI","37",117.285714285714,2,"Hawaii"
"HI","28",29.2857142857143,0,"Hawaii"
"HI","13",21.5714285714286,0,"Hawaii"
"HI","14",25.1428571428571,0.571428571428571,"Hawaii"
"HI","15",14.4285714285714,0.714285714285714,"Hawaii"
"HI","16",9.85714285714286,0.142857142857143,"Hawaii"
"HI","17",3,0.571428571428571,"Hawaii"
"HI","47",94.2857142857143,1.42857142857143,"Hawaii"
"HI","35",242.714285714286,2.28571428571429,"Hawaii"
"HI","36",211,3.14285714285714,"Hawaii"
"HI","07",0,0,"Hawaii"
"HI","08",0,0,"Hawaii"
"HI","09",0,0,"Hawaii"
"HI","27",18.4285714285714,0.142857142857143,"Hawaii"
"HI","11",1.14285714285714,0,"Hawaii"
"HI","29",21.5714285714286,0.714285714285714,"Hawaii"
"HI","30",45,0.285714285714286,"Hawaii"
"HI","31",105.857142857143,0,"Hawaii"
"HI","32",169.142857142857,0.714285714285714,"Hawaii"
"HI","33",225.714285714286,1.28571428571429,"Hawaii"
"HI","34",222.285714285714,1,"Hawaii"
"HI","05",0,0,"Hawaii"
"HI","06",0,0,"Hawaii"
"HI","20",1,0,"Hawaii"
"HI","21",1,0,"Hawaii"
"HI","22",1.14285714285714,0,"Hawaii"
"HI","10",0.285714285714286,0,"Hawaii"
"HI","26",11.5714285714286,0.142857142857143,"Hawaii"
"HI","12",9.85714285714286,0,"Hawaii"
"HI","53",98.75,0.75,"Hawaii"
"HI","42",79.1428571428571,2.57142857142857,"Hawaii"
"HI","43",89.8571428571429,3.42857142857143,"Hawaii"
"HI","44",65.2857142857143,1,"Hawaii"
"HI","45",108.428571428571,0.285714285714286,"Hawaii"
"HI","18",2,0.428571428571429,"Hawaii"
"HI","19",1.57142857142857,0,"Hawaii"
"HI","50",96,1.71428571428571,"Hawaii"
"HI","25",11.1428571428571,0,"Hawaii"
"HI","48",84,1.57142857142857,"Hawaii"
"HI","49",91.2857142857143,2.57142857142857,"Hawaii"
"HI","04",0,0,"Hawaii"
"HI","23",2.71428571428571,0,"Hawaii"
"HI","41",88,1.85714285714286,"Hawaii"
"HI","46",77.8571428571429,0.142857142857143,"Hawaii"
"HI","51",136.428571428571,1.14285714285714,"Hawaii"
"HI","52",105.428571428571,0.428571428571429,"Hawaii"
"HI","24",8.71428571428571,0,"Hawaii"
"IA","23",290.857142857143,10,"Iowa"
"IA","24",334,6.85714285714286,"Iowa"
"IA","05",0,0,"Iowa"
"IA","06",0,0,"Iowa"
"IA","07",0,0,"Iowa"
"IA","26",361.714285714286,2.85714285714286,"Iowa"
"IA","22",328.857142857143,11.4285714285714,"Iowa"
"IA","35",1133.28571428571,11,"Iowa"
"IA","04",0,0,"Iowa"
"IA","16",187.857142857143,4.85714285714286,"Iowa"
"IA","17",367.571428571429,6.14285714285714,"Iowa"
"IA","18",527.714285714286,9.42857142857143,"Iowa"
"IA","25",290.142857142857,4.71428571428571,"Iowa"
"IA","20",384.571428571429,12.2857142857143,"Iowa"
"IA","21",371.285714285714,14.7142857142857,"Iowa"
"IA","34",548.857142857143,8.71428571428571,"Iowa"
"IA","19",398.571428571429,11.5714285714286,"Iowa"
"IA","11",2.71428571428571,0,"Iowa"
"IA","12",9.71428571428571,0,"Iowa"
"IA","27",409.142857142857,2.28571428571429,"Iowa"
"IA","10",0.428571428571429,0,"Iowa"
"IA","15",102.714285714286,2.71428571428571,"Iowa"
"IA","42",1062.42857142857,9.71428571428571,"Iowa"
"IA","43",1246,15.1428571428571,"Iowa"
"IA","44",2073.85714285714,11.8571428571429,"Iowa"
"IA","45",3205.85714285714,17.8571428571429,"Iowa"
"IA","46",4622,20.4285714285714,"Iowa"
"IA","08",0,0,"Iowa"
"IA","09",0,0,"Iowa"
"IA","47",3622.57142857143,29.5714285714286,"Iowa"
"IA","48",2492.71428571429,26.2857142857143,"Iowa"
"IA","36",828.857142857143,7.42857142857143,"Iowa"
"IA","37",642.285714285714,7.57142857142857,"Iowa"
"IA","38",791.714285714286,6.71428571428571,"Iowa"
"IA","14",76,2.57142857142857,"Iowa"
"IA","40",889.571428571429,9.71428571428571,"Iowa"
"IA","28",545.428571428571,4.14285714285714,"Iowa"
"IA","29",507.428571428571,6.14285714285714,"Iowa"
"IA","30",496.571428571429,4.85714285714286,"Iowa"
"IA","31",470.428571428571,7,"Iowa"
"IA","32",471,7.71428571428571,"Iowa"
"IA","33",520.571428571429,6.42857142857143,"Iowa"
"IA","51",1555.71428571429,53.7142857142857,"Iowa"
"IA","39",901.285714285714,7.14285714285714,"Iowa"
